Country,Year,Military_Expenditure_USD,Military_Expenditure_pct_Govt,Military_Expenditure_pct_GDP,GDP_USD,GDP_per_Capita_USD,Political_Stability_Index,Military_Expenditure_missing,Political_Stability_missing,Military_Expenditure_pct_Govt_missing,Country_clean,Continent,Military_Expenditure_YoY,Military_Expenditure_YoY_Clipped,Score_Expenditure,Score_Growth,Score_pctGovt,Score_Politics,Total_Score
Kuwait,2001,5449.554633389923,0.1890444495447938,1.3679805426673773e-06,398364922849.27,,0.0,0,1,0,Kuwait,Asia,-1.7208203109774445,-1.7208203109774445,0.017160494328087198,0.00016026177107459854,0.33270588207856194,0.5011652265385944,0.1235699753321291
Kuwait,2002,5623.441718542821,0.1756452273658337,4.387328323019345e-07,1281746271196.04,,-0.146744310855865,0,0,0,Kuwait,Asia,3.1908494702938883,3.1908494702938883,0.01770806499931898,0.00017098776034951175,0.30912412633301056,0.4276030162896269,0.11171964922339725
Kuwait,2003,6060.306136918812,0.1736136955712691,1.6737705417323508e-06,362075086507.76,,0.294286906719208,0,0,0,Kuwait,Asia,7.768630675685095,7.768630675685095,0.019083751655962194,0.0001809846115831092,0.30554876308215184,0.6486898234332579,0.13366653100561598
Kuwait,2004,6522.862536259113,0.1662170998855648,6.222562833723556e-07,1048259810396.46,,0.345240026712418,0,0,0,Kuwait,Asia,7.6325583046448875,7.6325583046448875,0.02054034239613485,0.0001806874599305379,0.29253123784977186,0.674232374990592,0.13419982826544669
Kuwait,2005,6312.654040804367,0.1523791821561338,5.423763826517826e-07,1163888075277.2798,,0.253690272569656,0,0,0,Kuwait,Asia,-3.2226418123369127,-3.2226418123369127,0.0198783955537137,0.0001569821285021603,0.2681774065926949,0.6283389279246543,0.12446782697104054
Kuwait,2006,6240.465810349567,0.1105346744309158,6.116514294142625e-07,1020265057882.01,,0.412733107805252,0,0,0,Kuwait,Asia,-1.1435480225620243,-1.1435480225620243,0.01965107471634149,0.00016152240475926895,0.19453380644265147,0.7080663287073963,0.1176222807672343
Kuwait,2007,6628.558030109747,0.118756345177665,5.716511503477379e-07,1159545996903.455,,0.62064391374588,0,0,0,Kuwait,Asia,6.218962358812141,6.218962358812141,0.020873177652203905,0.00017760048225710432,0.2090034098853516,0.8122910058375317,0.1314323337663822
Kuwait,2008,6103.100792285104,0.07387879163823585,4.4355786451203313e-07,1375942414863.785,,0.501767992973328,0,0,0,Kuwait,Asia,-7.927172628462953,-7.927172628462953,0.019218512084797083,0.00014670848444129972,0.13002184723267093,0.7526990841718301,0.10900569524296841
Kuwait,2009,5933.36476453997,0.09314441710243003,4.3683681373306823e-07,1358256579576.095,,0.353407442569733,0,0,0,Kuwait,Asia,-2.7811441023503414,-2.7811441023503414,0.0186840130990737,0.00015794626084678,0.1639280895439065,0.6783266608881672,0.10813927311548154
Kuwait,2010,5824.549155009629,0.08295500066764588,1.5871120561062553e-06,366990417129.04,,0.451988816261292,0,0,0,Kuwait,Asia,-1.8339612319246523,-1.8339612319246523,0.018341352594421316,0.00016001469658492886,0.14599538223108283,0.7277450246791384,0.10935812436087441
